srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.3,18710,149.171.126.10,179,tcp,FIN,1.944357,800,678,254,252,4,4,-,3057.051758,2559.200684,14,12,255,255,3357423,2821860110,57,57,0,0,9463.203903,351.276094,1424261274,1424261276,149.565928,168.973359,0.161743,0.084976,0.076767,0,1,,, ,2,2,1,1,1,1,3, Fuzzers ,1
149.171.126.14,47439,175.45.176.1,53,udp,INT,3E-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253296,1424253296,0.003,0.0,0.0,0.0,0.0,0,0,,, ,28,28,11,11,11,4,28,,0
175.45.176.0,63553,149.171.126.15,179,tcp,FIN,0.266757,486,268,254,252,2,1,-,13135.54981,6717.724121,10,6,255,255,3426124519,472001997,49,45,0,0,1406.441492,64.02016,1424250438,1424250438,28.173,43.57,0.077006,0.048902,0.028104,0,1,,, ,4,4,2,2,2,1,4, Fuzzers ,1
175.45.176.0,1043,149.171.126.10,53,udp,INT,8E-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260795,1424260795,0.008,0.0,0.0,0.0,0.0,0,2,,, ,37,37,29,29,29,15,37,Generic,1
,18891,149.171.126.6,80,tcp,FIN,1.00476,1580,10168,31,29,3,5,http,11537.08301,76468.00781,12,18,255,255,3431187282,1286814379,132,565,1,3924,9529.366716,7675.463349,1424250810,1424250811,91.309634,59.072059,0.000657,0.000532,0.000125,0,0,1.0,, ,2,2,4,3,1,1,3,,0
59.166.0.8,42323,149.171.126.1,5190,tcp,FIN,0.00511,2158,1918,31,29,6,5,-,3239139.0,2854011.75,24,20,255,255,3299083526,3299314027,90,96,0,0,13.020582,13.603935,1424254357,1424254357,0.222174,0.236421,0.000604,0.000482,0.000122,0,0,,, ,2,2,2,2,1,1,1,,0
59.166.0.6,64393,149.171.126.5,36018,tcp,FIN,0.020256,2542,23516,31,29,7,14,-,979067.9375,9066746.0,40,42,255,255,2222244263,2238523569,64,560,0,0,0.0,31.125692,1424251216,1424251216,0.524553,0.482244,0.000595,0.000481,0.000114,0,0,,, ,6,8,6,3,1,1,4,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,1E-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253629,1424253629,0.001,0.0,0.0,0.0,0.0,0,2,,, ,31,31,18,18,18,18,31,Generic,1
149.171.126.14,47439,175.45.176.1,53,udp,INT,4E-06,264,0,60,0,0,0,dns,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424255110,1424255110,0.004,0.0,0.0,0.0,0.0,0,0,,, ,35,35,33,33,33,12,35,,0
59.166.0.2,35923,149.171.126.4,16120,tcp,FIN,0.003252,320,1992,31,29,1,2,ftp-data,656826.5625,4287823.0,6,8,255,255,2939239204,2943387426,53,249,0,0,34.174816,0.693465,1424258766,1424258766,0.589,0.398286,0.000588,0.000461,0.000127,0,0,,, ,3,3,4,5,1,1,4,,0
175.45.176.0,1043,149.171.126.10,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260048,1424260048,0.009,0.0,0.0,0.0,0.0,0,2,,, ,5,5,5,5,5,5,5,Generic,1
59.166.0.9,26113,149.171.126.7,23982,tcp,FIN,0.144759,4550,71158,31,29,7,33,-,248247.0938,3883364.75,78,80,255,255,403955625,475617495,58,889,0,0,96.575731,93.905805,1424256424,1424256425,1.875701,1.826316,0.000601,0.000477,0.000124,0,0,,, ,6,3,2,1,1,1,1,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,8E-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424255018,1424255018,0.008,0.0,0.0,0.0,0.0,0,2,,, ,20,20,16,16,16,16,20,Generic,1
59.166.0.1,28390,149.171.126.0,111,udp,CON,0.004467,568,304,31,29,0,0,-,762928.1875,408327.75,4,4,0,0,0,0,142,76,0,0,1.677023,1.400543,1424257657,1424257657,1.191333,0.997333,0.0,0.0,0.0,0,0,,, ,2,8,4,2,1,1,2,,0
175.45.176.0,0,149.171.126.17,0,rsvp,INT,7E-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251654,1424251654,0.007,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,2,2,2,4,DoS,1
59.166.0.7,22679,149.171.126.4,111,udp,CON,0.004562,568,312,31,29,0,0,-,747040.8125,410346.3438,4,4,0,0,0,0,142,78,0,0,1.696585,1.406908,1424250020,1424250020,1.201667,1.000333,0.0,0.0,0.0,0,0,,, ,3,5,4,4,1,1,4,,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,2E-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253043,1424253043,0.002,0.0,0.0,0.0,0.0,0,0,,, ,40,40,40,40,40,21,40,,0
59.166.0.5,49034,149.171.126.2,43781,tcp,FIN,0.072006,3598,48232,31,29,7,24,-,393189.4375,5272338.5,60,62,255,255,2454390511,309293896,60,778,0,0,75.219011,73.602477,1424252605,1424252605,1.236069,1.19015,0.000731,0.000588,0.000143,0,0,,, ,7,7,6,4,1,1,3,,0
59.166.0.1,5821,149.171.126.2,53,udp,CON,0.00111,146,178,31,29,0,0,dns,526126.125,641441.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424255059,1424255059,0.009,0.009,0.0,0.0,0.0,0,0,,, ,1,6,6,4,1,1,2,,0
59.166.0.4,14277,149.171.126.5,10034,udp,CON,0.00173,544,304,31,29,0,0,-,1886705.125,1054335.25,4,4,0,0,0,0,136,76,0,0,0.625554,0.278133,1424254006,1424254006,0.447333,0.200667,0.0,0.0,0.0,0,0,,, ,4,3,4,2,1,1,3,,0
59.166.0.1,41407,149.171.126.0,25,tcp,FIN,0.024493,37346,3380,31,29,18,8,smtp,11963582.0,1077859.0,52,42,255,255,2036410250,4182811856,718,80,0,0,28.249721,1.13952,1424257512,1424257512,0.48318,0.585585,0.000598,0.000478,0.00012,0,0,,, ,1,1,2,8,1,1,2,,0
59.166.0.7,25451,149.171.126.0,22,tcp,FIN,0.013132,5928,8010,31,29,14,17,ssh,3553457.0,4795613.5,62,58,255,255,1368020721,3517916935,96,138,0,0,15.146169,0.0,1424251297,1424251297,0.218867,0.224655,0.000782,0.00065,0.000132,0,0,,, ,1,1,2,1,1,1,2,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,2E-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259229,1424259229,0.002,0.0,0.0,0.0,0.0,0,0,,, ,38,38,20,20,20,11,38,,0
59.166.0.1,11402,149.171.126.5,6881,tcp,FIN,0.023402,1540,1644,31,29,4,4,-,493633.0313,530894.8125,16,18,255,255,1489020744,1502156349,96,91,0,0,99.097772,2.519295,1424254798,1424254798,1.539933,1.349647,0.00058,0.000453,0.000127,0,0,,, ,6,5,4,6,6,1,4,,0
59.166.0.5,,149.171.126.8,6881,tcp,FIN,0.018316,1540,1644,31,29,4,4,-,630705.375,678314.0,16,18,255,255,829804854,835921702,96,91,0,0,71.858312,2.042008,1424254968,1424254968,1.200467,1.050412,0.001196,0.000457,0.000739,0,0,,, ,9,7,9,8,6,1,7,,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,3E-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253601,1424253601,0.003,0.0,0.0,0.0,0.0,0,0,,, ,42,42,42,42,42,23,42,,0
59.166.0.5,24350,149.171.126.6,111,udp,CON,0.00443,568,312,31,29,0,0,-,769300.1875,422573.3438,4,4,0,0,0,0,142,78,0,0,1.668302,1.359059,1424261885,1424261885,1.185667,0.967,0.0,0.0,0.0,0,0,,, ,10,5,3,4,1,1,3,,0
,47439,175.45.176.1,53,udp,INT,2E-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424251629,1424251629,0.002,0.0,0.0,0.0,0.0,0,0,,, ,37,37,12,12,12,12,37,,0
59.166.0.6,9456,149.171.126.3,5190,tcp,FIN,0.004064,1064,2260,31,29,4,4,-,1921259.75,4078740.0,12,12,255,255,2298088583,148813676,89,188,0,0,17.024904,0.384294,1424259062,1424259062,0.337091,0.317636,0.000679,0.000561,0.000118,0,0,,, ,3,3,2,2,2,1,2,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253356,1424253356,0.009,0.0,0.0,0.0,0.0,0,2,,, ,31,31,18,18,18,18,31,Generic,1
59.166.0.2,64019,149.171.126.3,11513,tcp,FIN,0.139445,320,1818,31,29,1,2,ftp-data,15317.86621,91276.125,6,8,255,255,1176584340,1931932960,53,227,0,0,1958.564257,48.29723,1424260285,1424260285,27.8266,19.848143,0.000617,0.000504,0.000113,0,0,,, ,1,1,1,9,1,1,1,,0
59.166.0.3,29350,149.171.126.3,53,udp,CON,0.001003,146,178,31,29,0,0,dns,582253.25,709870.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424259330,1424259330,0.008,0.007,0.0,0.0,0.0,0,0,,, ,6,1,1,4,3,1,1,,0
175.45.176.1,9335,149.171.126.10,80,tcp,FIN,1.81267,964,354,254,252,2,1,http,3830.813232,1368.147583,10,8,255,255,3286398336,2910767273,96,44,1,0,13924.20524,374.660156,1424259166,1424259168,201.277,251.792578,0.090606,0.050121,0.040485,0,1,1.0,, ,1,1,1,1,1,1,1,Exploits,1
59.166.0.2,4134,149.171.126.1,2074,tcp,FIN,0.044321,4014,56418,31,29,7,28,-,713882.8125,10038221.0,68,70,255,255,1832782319,3996437649,59,806,0,0,41.962473,40.799139,1424257264,1424257264,0.65609,0.635333,0.00061,0.00048,0.00013,0,0,,, ,5,3,2,4,1,1,1,,0
175.45.176.0,18028,149.171.126.17,25,tcp,FIN,1.448405,31499,1960,62,252,18,8,smtp,170029.7813,10334.12598,44,22,255,255,2460249825,812806026,716,89,0,0,2440.084863,110.79793,1424260566,1424260568,33.66228,67.809617,0.05641,0.024398,0.032012,0,1,,, ,1,1,1,17,1,1,1,Exploits,1
149.171.126.14,47439,175.45.176.1,53,udp,INT,2E-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424255240,1424255240,0.002,0.0,0.0,0.0,0.0,0,0,,, ,31,31,19,19,19,19,31,,0
59.166.0.9,27448,149.171.126.4,51329,tcp,FIN,0.032916,4550,69850,31,29,7,33,-,1091748.75,16764371.0,78,80,255,255,3152044110,1002756517,58,873,0,0,21.950884,21.671242,1424251175,1424251175,0.428421,0.409038,0.000731,0.000594,0.000137,0,0,,, ,3,10,3,4,1,1,2,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,3E-05,114,0,254,0,0,0,dns,15200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260294,1424260294,0.03,0.0,0.0,0.0,0.0,0,2,,, ,33,33,33,33,33,16,33,Generic,1
59.166.0.9,43959,149.171.126.8,53,udp,CON,0.000979,146,178,31,29,0,0,dns,596527.0625,727272.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424253148,1424253148,0.003,0.008,0.0,0.0,0.0,0,0,,, ,5,6,2,3,3,1,4,,0
,22695,149.171.126.7,19815,tcp,FIN,0.023755,2542,23354,31,29,7,14,-,834855.8125,7677709.5,40,42,255,255,2951826182,802847981,64,556,0,0,43.879026,41.889408,1424253862,1424253862,0.617053,0.55078,0.001312,0.001164,0.000148,0,0,,, ,8,7,4,11,1,1,1,,0
59.166.0.5,49613,149.171.126.4,1312,tcp,FIN,0.019843,3182,38766,31,29,7,20,-,1258277.375,15340018.0,52,54,255,255,2712799103,585736123,61,718,0,0,21.089186,20.340504,1424250791,1424250791,0.398796,0.371308,0.000648,0.000513,0.000135,0,0,,, ,13,7,2,12,1,1,2,,0
175.45.176.2,6020,149.171.126.19,55345,tcp,FIN,0.469641,1156,354,254,252,2,1,-,17732.69336,5280.629395,10,8,255,255,2320883015,45123333,116,44,0,0,3470.667698,114.000984,1424253108,1424253108,52.182333,58.17457,0.105931,0.051774,0.054157,0,1,,, ,2,2,2,2,1,1,2,Exploits,1
149.171.126.10,47439,175.45.176.0,53,udp,INT,1E-06,264,0,60,0,0,0,dns,1056000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260810,1424260810,0.001,0.0,0.0,0.0,0.0,0,0,,, ,29,29,29,29,29,16,29,,0
175.45.176.3,38940,149.171.126.19,80,tcp,FIN,1.195555,844,1342,62,252,2,2,http,5085.504395,8083.275391,10,10,255,255,1108971534,2556802752,84,134,1,170,7945.789652,290.123219,1424254178,1424254179,132.839444,124.927445,0.111549,0.070449,0.0411,0,1,4.0,, ,2,2,2,3,2,2,2,,0
59.166.0.0,47941,149.171.126.5,53923,tcp,FIN,0.027796,3598,46566,31,29,7,24,-,1018563.813,13186070.0,60,62,255,255,193036551,2345927797,60,751,0,0,27.783389,27.349888,1424255128,1424255128,0.465898,0.454183,0.000682,0.000542,0.00014,0,0,,, ,3,4,4,1,1,1,1,,0
175.45.176.2,0,149.171.126.17,0,igp,INT,6E-06,180,0,254,0,0,0,-,119999992.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424258741,1424258741,0.006,0.0,0.0,0.0,0.0,0,2,,, ,10,10,9,8,8,8,10,DoS,1
59.166.0.5,10478,149.171.126.4,80,tcp,FIN,1.074077,1580,10168,31,29,3,5,http,10792.52246,71533.04688,12,18,255,255,3625067251,3659664792,132,565,1,3924,9757.301341,7861.871116,1424258227,1424258228,97.610815,63.149944,0.000668,0.000522,0.000146,0,0,1.0,, ,1,3,2,1,1,1,1,,0
175.45.176.2,9909,149.171.126.13,179,tcp,FIN,0.790624,534,268,254,252,2,1,-,4867.041504,2266.563965,10,6,255,255,1609933037,1433000222,53,45,0,0,4377.704356,230.397312,1424258899,1424258900,85.740778,141.213406,0.211953,0.084551,0.127402,0,1,,, ,6,3,1,3,2,1,3,,0
175.45.176.0,1043,149.171.126.10,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424261864,1424261864,0.009,0.0,0.0,0.0,0.0,0,2,,, ,31,31,32,31,31,16,31,Generic,1
59.166.0.4,45994,149.171.126.2,6294,tcp,FIN,0.018895,2542,22546,31,29,7,14,-,1049589.875,9318867.0,40,42,255,255,1152850366,1161507251,64,537,0,0,29.972052,27.154849,1424258373,1424258373,0.489289,0.449098,0.000603,0.000479,0.000124,0,0,,, ,2,10,8,2,1,1,3,,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,4E-06,264,0,60,0,0,0,dns,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424255016,1424255016,0.004,0.0,0.0,0.0,0.0,0,0,,, ,12,12,12,12,12,12,12,,0
175.45.176.0,1043,149.171.126.10,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424261881,1424261881,0.009,0.0,0.0,0.0,0.0,0,2,,, ,24,24,16,16,16,16,24,Generic,1
149.171.126.14,47439,175.45.176.1,53,udp,INT,4E-06,264,0,60,0,0,0,dns,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424255038,1424255038,0.004,0.0,0.0,0.0,0.0,0,0,,, ,41,41,41,41,41,19,41,,0
59.166.0.4,38626,149.171.126.0,32528,tcp,FIN,0.002689,320,1892,31,29,1,2,ftp-data,794347.375,4926738.5,6,8,255,255,2500994484,359418218,53,237,0,0,26.480284,0.493609,1424261163,1424261163,0.477,0.313714,0.000601,0.00049,0.000111,0,0,,, ,4,2,4,3,1,1,3,,0
59.166.0.9,33072,149.171.126.3,53,udp,CON,0.001063,146,178,31,29,0,0,dns,549388.5625,669802.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424258131,1424258131,0.01,0.007,0.0,0.0,0.0,0,0,,, ,2,6,4,4,2,1,2,,0
59.166.0.1,65025,149.171.126.9,18869,tcp,FIN,0.090642,4966,81270,31,29,7,36,-,433264.9375,7089429.0,86,86,255,255,2887076763,2910411906,58,945,0,0,66.673576,1.842401,1424253193,1424253193,1.062412,1.059024,0.001568,0.000622,0.000946,0,0,,, ,5,4,2,3,1,1,3,,0
59.166.0.2,20180,149.171.126.3,80,tcp,FIN,1.186927,1580,10168,31,29,3,5,http,9766.397461,64731.86719,12,18,255,255,1359005807,1382385407,132,565,1,3924,9652.078049,7755.817703,1424259719,1424259720,107.871635,69.777587,0.000866,0.000704,0.000162,0,0,4.0,, ,2,3,5,5,2,2,5,,0
149.171.126.10,1043,175.45.176.0,53,udp,INT,6E-06,264,0,60,0,0,0,dns,176000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424262049,1424262049,0.006,0.0,0.0,0.0,0.0,0,0,,, ,35,35,18,18,18,18,35,,0
59.166.0.8,61896,149.171.126.8,111,udp,CON,0.004572,568,312,31,29,0,0,-,745406.8125,409448.8438,4,4,0,0,0,0,142,78,0,0,1.653452,1.411149,1424253370,1424253371,1.175667,1.004333,0.0,0.0,0.0,0,0,,, ,5,4,3,4,1,1,4,,0
59.166.0.5,59050,149.171.126.7,6881,tcp,FIN,0.281628,1540,1644,31,29,4,4,-,41018.64844,44114.92969,16,18,255,255,26203433,59513134,96,91,0,0,1138.400383,31.182633,1424250894,1424250894,18.754733,16.535883,0.000628,0.00051,0.000118,0,0,,, ,8,12,9,8,5,1,7,,0
59.166.0.9,17909,149.171.126.2,37419,tcp,FIN,0.059858,2766,28404,31,29,7,16,-,361388.5938,3713722.25,44,46,255,255,2808758197,733929462,63,617,0,0,80.238527,78.122887,1424254285,1424254285,1.417405,1.315067,0.000835,0.000677,0.000158,0,0,,, ,7,5,3,2,1,1,1,,0
59.166.0.0,18711,149.171.126.2,6881,tcp,FIN,0.020115,1540,1644,31,29,4,4,-,574297.8125,617648.5625,16,18,255,255,3486008233,3491011690,96,91,0,0,84.099369,2.149205,1424254601,1424254601,1.3208,1.156647,0.00056,0.000447,0.000113,0,0,,, ,12,15,9,7,6,1,13,,0
175.45.176.2,63083,149.171.126.17,143,tcp,FIN,0.964263,2590,574,254,252,3,3,-,19704.16797,4289.286133,12,10,255,255,3067729508,396205581,216,57,0,0,4518.037024,120.988836,1424257663,1424257664,87.574457,95.963445,0.22085,0.10057,0.12028,0,1,,, ,1,1,1,1,1,1,1,Generic,1
175.45.176.1,47439,149.171.126.14,53,udp,INT,3E-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424255071,1424255071,0.003,0.0,0.0,0.0,0.0,0,2,,, ,30,30,18,18,18,18,30,Generic,1
175.45.176.1,1043,149.171.126.14,53,udp,INT,1E-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252080,1424252080,0.001,0.0,0.0,0.0,0.0,0,2,,, ,24,24,14,18,14,14,24,Generic,1
149.171.126.14,1043,175.45.176.1,53,udp,INT,3E-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253801,1424253801,0.003,0.0,0.0,0.0,0.0,0,0,,, ,23,23,23,23,23,23,23,,0
59.166.0.4,50140,149.171.126.2,2228,tcp,FIN,0.015816,2646,25684,31,29,7,15,-,1306525.125,12696510.0,42,44,255,255,4127394246,4142662694,63,584,0,0,0.0,25.345891,1424260378,1424260378,0.378146,0.355767,0.000654,0.000515,0.000139,0,0,,, ,2,3,3,3,1,1,3,,0
59.166.0.6,15167,149.171.126.8,15723,tcp,FIN,0.008401,2230,13968,31,29,7,11,-,2061659.375,12931794.0,34,36,255,255,3996134875,3996485150,66,388,0,0,15.046905,13.33392,1424252618,1424252618,0.249906,0.227618,0.000779,0.000653,0.000126,0,0,,, ,9,1,2,6,1,1,2,,0
59.166.0.8,45112,149.171.126.6,4045,udp,CON,0.001764,536,304,31,29,0,0,-,1823129.25,1034013.563,4,4,0,0,0,0,134,76,0,0,0.631919,0.316555,1424259397,1424259397,0.451333,0.228333,0.0,0.0,0.0,0,0,,, ,8,4,3,3,1,1,4,,0
59.166.0.8,48859,149.171.126.8,80,tcp,FIN,1.169822,1684,10168,31,29,3,5,http,10695.64453,65678.36719,14,18,255,255,452594752,481141399,120,565,1,3924,8847.173989,7984.402835,1424250107,1424250108,89.959156,73.083127,0.000775,0.00049,0.000285,0,0,1.0,, ,1,1,4,3,1,1,7,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,3E-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260800,1424260800,0.003,0.0,0.0,0.0,0.0,0,0,,, ,30,30,12,12,12,7,30,,0
59.166.0.2,34015,149.171.126.4,38604,tcp,FIN,0.061884,2766,28404,31,29,7,16,-,349557.2188,3592140.0,44,46,255,255,3487019665,1405573813,63,617,0,0,90.280391,82.506207,1424254275,1424254275,1.463262,1.363778,0.00063,0.000513,0.000117,0,0,,, ,7,5,1,3,1,1,1,,0
